날짜,대여 자전거 수,시간(시),온도(°C),습도(%),풍속(m/s),가시거리(10m),태양 복사 에너지(MJ/m²),강수여부,적설여부,계절,공휴일 여부
2018-01-02,304,21,-2.6,28,2.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-25,424,22,8.8,79,2.0,203,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-31,2534,19,25.2,53,3.1,1983,0.51,비 아님,눈 아님,봄,공휴일 아님
2018-11-02,642,0,7.2,64,1.0,1639,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-10-27,775,20,7.6,44,4.2,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-11-13,710,10,9.0,51,0.9,706,1.16,비 아님,눈 아님,가을,공휴일 아님
2018-05-12,416,2,15.5,62,1.0,730,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-09-17,2232,20,21.9,65,2.5,1986,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-08-20,675,6,25.3,67,1.5,1450,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-20,2084,19,32.9,44,2.0,1985,0.59,비 아님,눈 아님,여름,공휴일 아님
2018-05-16,662,0,24.4,63,0.8,745,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-05,2063,21,25.2,67,1.5,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-10,1544,22,30.9,54,0.8,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-02,27,10,21.4,97,0.6,563,0.27,비,눈 아님,여름,공휴일 아님
2018-11-15,1146,20,9.5,49,1.3,918,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-10,1153,19,19.2,55,5.8,2000,0.01,비 아님,눈 아님,봄,공휴일 아님
2018-03-21,70,4,1.3,39,2.3,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-10-07,840,23,12.9,38,1.5,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-01,1296,18,17.7,75,2.1,519,0.12,비 아님,눈 아님,봄,공휴일 아님
2018-03-12,694,15,15.3,32,2.9,458,2.02,비 아님,눈 아님,봄,공휴일 아님
2018-11-11,314,3,7.1,85,0.7,329,0.0,비 아님,눈 아님,가을,공휴일 아님
2017-12-26,156,23,-7.5,37,3.1,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-02-03,196,14,-5.0,31,4.0,2000,2.18,비 아님,눈 아님,겨울,공휴일 아님
2018-04-14,75,12,8.6,94,1.1,389,0.49,비 아님,눈 아님,봄,공휴일 아님
2018-08-03,937,7,30.8,58,1.6,1777,0.22,비 아님,눈 아님,여름,공휴일 아님
2018-10-30,440,1,3.0,55,1.0,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-05-27,1374,22,18.6,50,1.0,1830,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-04-08,177,22,2.7,88,2.0,621,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-10-10,90,3,14.3,95,1.0,967,0.0,비,눈 아님,가을,공휴일 아님
2018-07-30,2016,19,35.2,43,0.9,2000,0.42,비 아님,눈 아님,여름,공휴일 아님
2018-01-29,166,13,-6.9,23,4.6,1963,1.28,비 아님,눈 아님,겨울,공휴일 아님
2018-03-09,309,23,2.5,72,1.5,1071,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-20,557,2,25.7,84,0.1,1293,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-20,172,1,-7.3,67,1.1,1593,0.0,비 아님,눈,겨울,공휴일 아님
2017-12-15,464,17,-0.2,39,0.8,1016,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-02-11,175,16,-3.6,36,4.4,2000,0.67,비 아님,눈 아님,겨울,공휴일 아님
2018-03-08,586,20,3.3,74,2.6,494,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-21,262,2,13.9,0,0.9,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-01-14,149,0,-4.4,81,0.7,414,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-24,30,4,24.5,88,2.0,1433,0.0,비,눈 아님,여름,공휴일 아님
2018-08-22,1807,21,33.1,46,2.7,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-09,1890,15,29.6,40,2.5,1546,1.96,비 아님,눈 아님,여름,공휴일 아님
2018-07-25,754,14,33.0,53,1.7,1357,1.73,비 아님,눈 아님,여름,공휴일 아님
2018-08-02,1535,21,33.3,63,1.2,1304,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-30,356,14,4.3,60,1.2,272,0.4,비 아님,눈 아님,겨울,공휴일 아님
2018-11-16,991,9,8.2,61,0.6,586,0.26,비 아님,눈 아님,가을,공휴일 아님
2018-08-27,27,4,20.5,97,0.1,257,0.0,비,눈 아님,여름,공휴일 아님
2018-01-12,99,1,-13.7,47,3.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-26,769,1,22.5,80,0.6,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-04-26,409,2,11.9,57,1.0,1793,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-01-08,144,20,1.0,89,1.9,407,0.0,비 아님,눈,겨울,공휴일 아님
2018-11-25,675,13,8.8,53,1.5,778,1.43,비 아님,눈,가을,공휴일 아님
2018-02-08,284,16,2.0,25,2.3,1755,1.3,비 아님,눈 아님,겨울,공휴일 아님
2018-09-24,426,1,16.8,53,2.0,2000,0.0,비 아님,눈 아님,가을,공휴일
2017-12-16,217,0,-2.6,73,3.4,787,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-10,148,23,-1.4,43,4.3,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-04-14,253,2,13.5,27,1.6,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-04-19,125,4,8.3,53,1.1,1007,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-10-31,287,2,6.4,65,0.0,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-27,909,0,28.6,80,0.6,990,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-12,1208,20,29.4,86,1.1,1194,0.03,비,눈 아님,여름,공휴일 아님
2018-08-08,700,1,28.5,80,1.5,1306,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-12,554,2,29.0,60,1.4,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-03-13,428,10,10.9,40,0.5,714,0.55,비 아님,눈 아님,봄,공휴일 아님
2018-02-11,126,9,-8.6,28,1.5,1786,0.49,비 아님,눈 아님,겨울,공휴일 아님
2017-12-01,555,17,0.8,58,1.6,2000,0.08,비 아님,눈 아님,겨울,공휴일 아님
2018-10-25,1275,15,20.6,32,1.4,1651,1.4,비 아님,눈 아님,가을,공휴일 아님
2018-04-08,93,20,2.7,90,1.5,639,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-06-09,732,2,19.4,84,0.7,382,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-14,80,3,-10.7,48,0.4,1651,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-01,930,8,-7.6,37,1.1,2000,0.01,비 아님,눈 아님,겨울,공휴일 아님
2018-09-05,2468,19,25.4,55,3.2,2000,0.15,비 아님,눈 아님,가을,공휴일 아님
2018-02-05,183,22,-10.3,43,3.7,1876,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-04-07,897,16,7.9,34,4.7,1979,1.09,비 아님,눈 아님,봄,공휴일 아님
2018-06-22,268,4,19.1,86,1.4,322,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-17,304,5,21.8,55,1.9,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-20,1002,10,22.2,70,3.1,740,1.44,비 아님,눈 아님,여름,공휴일 아님
2018-09-07,624,6,20.2,70,1.6,1690,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-11-12,1189,21,8.5,50,0.5,1707,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-08-25,1357,23,22.9,78,1.4,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-26,36,5,-16.9,38,2.3,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-05-20,341,7,12.3,43,0.6,2000,0.3,비 아님,눈 아님,봄,공휴일 아님
2018-06-18,1557,19,28.1,38,2.6,2000,0.63,비 아님,눈 아님,여름,공휴일 아님
2018-04-03,2134,18,18.9,68,3.3,1326,0.12,비 아님,눈 아님,봄,공휴일 아님
2018-09-23,202,4,16.2,69,0.7,2000,0.0,비 아님,눈 아님,가을,공휴일
2018-04-07,714,18,6.4,43,3.7,2000,0.92,비 아님,눈 아님,봄,공휴일 아님
2018-08-03,585,13,36.8,44,1.8,1625,1.79,비 아님,눈 아님,여름,공휴일 아님
2018-06-17,953,10,23.0,66,1.1,516,0.83,비 아님,눈 아님,여름,공휴일 아님
2018-01-19,236,23,-0.5,59,0.9,1487,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-09-27,2098,20,19.5,47,1.2,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-25,1893,8,28.7,70,3.5,1470,0.52,비 아님,눈 아님,여름,공휴일 아님
2018-11-29,748,16,5.8,39,2.6,1489,0.1,비 아님,눈 아님,가을,공휴일 아님
2018-03-09,195,6,2.5,71,1.1,1055,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-08-30,1887,18,26.1,72,2.4,1066,0.19,비 아님,눈 아님,여름,공휴일 아님
2018-01-31,47,3,-2.2,83,1.0,977,0.0,비 아님,눈,겨울,공휴일 아님
2018-07-06,1449,7,22.6,63,1.3,2000,0.21,비 아님,눈 아님,여름,공휴일 아님
2018-01-29,168,14,-5.7,23,4.5,1956,1.25,비 아님,눈 아님,겨울,공휴일 아님
2018-01-10,39,5,-7.3,75,1.6,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-09-16,754,13,23.6,66,2.1,1689,0.87,비 아님,눈 아님,가을,공휴일 아님
2018-09-22,93,5,18.8,96,0.2,973,0.0,비,눈 아님,가을,공휴일 아님
2018-09-26,150,5,16.3,61,1.5,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-06-19,766,1,20.9,66,0.8,1528,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-19,2378,21,21.6,66,2.4,962,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-10-23,547,1,11.1,62,0.2,666,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-03-13,572,23,13.4,81,2.6,958,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-06-05,927,0,20.5,71,2.8,1204,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-10-14,847,10,13.3,47,0.5,818,1.67,비 아님,눈 아님,가을,공휴일 아님
2018-10-19,1188,7,7.3,72,0.4,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-10-03,173,5,11.8,82,1.1,1878,0.0,비 아님,눈 아님,가을,공휴일
2018-07-05,2122,20,25.8,68,1.4,2000,0.09,비 아님,눈 아님,여름,공휴일 아님
2018-06-26,65,15,21.5,97,0.6,311,0.21,비,눈 아님,여름,공휴일 아님
2018-01-29,135,10,-9.5,28,3.7,1893,0.59,비 아님,눈 아님,겨울,공휴일 아님
2018-05-18,116,1,19.0,97,1.5,278,0.0,비,눈 아님,봄,공휴일 아님
2018-03-22,726,21,4.5,62,2.0,826,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-30,1571,16,24.7,47,3.0,1594,2.44,비 아님,눈 아님,봄,공휴일 아님
2018-08-24,455,16,24.6,85,2.7,1973,0.55,비 아님,눈 아님,여름,공휴일 아님
2018-08-31,1404,16,29.7,51,3.0,2000,2.27,비 아님,눈 아님,여름,공휴일 아님
2017-12-05,62,3,-6.9,39,2.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-09,298,20,0.8,51,1.4,1848,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-24,578,1,12.9,62,0.6,1557,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-03-05,865,17,10.0,43,1.4,2000,1.12,비 아님,눈 아님,봄,공휴일 아님
2018-07-27,905,16,35.0,55,2.8,835,1.56,비 아님,눈 아님,여름,공휴일 아님
2018-03-29,614,23,12.7,75,1.6,475,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-11-27,623,11,7.9,64,1.2,383,0.87,비 아님,눈 아님,가을,공휴일 아님
2018-06-22,2251,21,24.2,32,1.5,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-13,1065,7,27.0,86,0.9,718,0.22,비 아님,눈 아님,여름,공휴일 아님
2018-04-28,672,1,12.7,74,1.8,392,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-08-27,148,11,22.0,96,1.6,602,0.36,비,눈 아님,여름,공휴일 아님
2018-03-26,819,16,17.7,33,3.4,897,1.96,비 아님,눈 아님,봄,공휴일 아님
2018-07-30,1947,20,33.9,46,1.4,2000,0.03,비 아님,눈 아님,여름,공휴일 아님
2018-10-08,2150,19,16.4,42,1.8,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-05-01,1536,14,23.0,64,2.8,520,1.59,비 아님,눈 아님,봄,공휴일
2018-06-11,1629,7,19.1,59,1.1,2000,0.38,비 아님,눈 아님,여름,공휴일 아님
2018-04-02,662,11,18.5,61,1.6,1301,0.95,비 아님,눈 아님,봄,공휴일 아님
2018-02-01,256,14,0.8,23,3.2,2000,1.29,비 아님,눈,겨울,공휴일 아님
2018-04-20,1213,21,19.2,50,1.5,842,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-11-17,1037,13,10.9,32,2.1,1581,1.85,비 아님,눈 아님,가을,공휴일 아님
2018-02-22,195,0,-2.7,58,1.7,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-09-02,802,10,25.0,47,1.5,2000,2.17,비 아님,눈 아님,가을,공휴일 아님
2018-09-15,1578,19,23.8,78,2.2,1991,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-23,132,10,-12.1,34,3.5,1968,0.62,비 아님,눈,겨울,공휴일 아님
2018-03-06,224,0,1.3,69,0.8,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2017-12-21,178,7,-5.3,90,1.1,311,0.0,비 아님,눈,겨울,공휴일 아님
2018-10-18,458,6,7.6,82,0.3,1933,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-06-16,1144,9,20.4,54,1.5,2000,1.88,비 아님,눈 아님,여름,공휴일 아님
2018-05-15,562,6,15.4,84,0.8,235,0.03,비 아님,눈 아님,봄,공휴일 아님
2018-08-27,1762,21,23.9,88,0.8,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-11-02,560,1,6.6,69,0.0,1512,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-10-23,1433,20,13.6,70,1.4,1392,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-02-07,176,11,-7.0,28,3.3,1829,1.56,비 아님,눈 아님,겨울,공휴일 아님
2018-10-19,1331,22,12.3,65,1.7,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-10-22,1593,20,14.5,51,1.4,751,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-11-04,1511,14,19.3,28,1.7,1208,1.93,비 아님,눈 아님,가을,공휴일 아님
2018-08-12,1337,21,28.9,83,0.3,1449,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-03-11,666,12,9.2,40,2.6,592,2.47,비 아님,눈 아님,봄,공휴일 아님
2018-08-02,562,12,36.6,41,2.0,1866,2.58,비 아님,눈 아님,여름,공휴일 아님
2018-04-14,586,22,8.8,77,3.2,1258,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-03-25,571,19,12.6,59,2.5,384,0.08,비 아님,눈 아님,봄,공휴일 아님
2018-01-17,258,14,7.7,54,2.6,313,0.58,비 아님,눈 아님,겨울,공휴일 아님
2018-02-14,292,7,1.3,66,1.1,1534,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-11-13,2159,18,11.3,42,1.2,1846,0.01,비 아님,눈 아님,가을,공휴일 아님
2017-12-23,325,12,7.0,72,1.9,246,0.64,비 아님,눈 아님,겨울,공휴일 아님
2018-01-01,168,22,-1.3,48,0.8,1927,0.0,비 아님,눈 아님,겨울,공휴일
2018-06-11,194,4,18.8,60,1.0,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-11-05,1215,22,11.6,81,1.2,336,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-10-16,950,23,12.9,78,0.6,1201,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-30,94,6,-11.2,53,0.9,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-07-06,1318,9,23.3,61,1.7,2000,0.8,비 아님,눈 아님,여름,공휴일 아님
2018-04-12,144,5,7.1,57,0.8,1746,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-02-04,23,6,-11.8,54,2.4,1917,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-28,741,7,9.6,82,1.1,284,0.04,비 아님,눈 아님,봄,공휴일 아님
2018-11-10,885,22,10.6,81,1.2,281,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-12,686,10,13.8,39,2.3,1659,2.09,비 아님,눈 아님,봄,공휴일 아님
2018-05-16,59,12,22.9,87,4.0,1497,0.22,비 아님,눈 아님,봄,공휴일 아님
2018-06-25,424,2,22.3,80,0.8,709,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-21,107,2,-1.5,63,1.0,380,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-07-24,1213,7,27.8,63,1.2,1781,0.32,비 아님,눈 아님,여름,공휴일 아님
2018-08-24,400,7,24.2,88,2.3,2000,0.05,비 아님,눈 아님,여름,공휴일 아님
2018-08-17,2130,20,28.4,40,1.7,1887,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-31,273,8,-3.6,83,1.7,915,0.0,비 아님,눈,겨울,공휴일 아님
2018-07-13,377,3,24.9,86,2.0,1079,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-18,701,11,30.2,53,2.2,1143,2.77,비 아님,눈 아님,여름,공휴일 아님
2018-05-24,1078,13,23.3,35,3.7,1874,3.28,비 아님,눈 아님,봄,공휴일 아님
2018-03-09,535,20,4.3,67,1.1,1125,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-01-08,387,9,0.8,47,0.9,1070,0.05,비 아님,눈 아님,겨울,공휴일 아님
2018-04-28,166,4,11.4,78,1.8,362,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-03-30,115,4,9.9,67,1.1,820,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-02-11,155,11,-5.0,25,3.2,1853,1.75,비 아님,눈 아님,겨울,공휴일 아님
2018-01-19,468,17,4.1,34,3.1,1810,0.28,비 아님,눈 아님,겨울,공휴일 아님
2018-01-20,258,1,-0.9,64,0.4,1273,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-10-22,1464,16,19.7,34,1.6,688,0.88,비 아님,눈 아님,가을,공휴일 아님
2018-01-04,290,12,-2.9,33,0.9,1813,0.92,비 아님,눈 아님,겨울,공휴일 아님
2018-10-24,1106,13,17.2,43,2.3,1835,1.68,비 아님,눈 아님,가을,공휴일 아님
2017-12-22,283,7,-0.3,72,0.7,919,0.0,비 아님,눈,겨울,공휴일
2018-01-16,409,19,4.6,57,1.0,432,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-19,224,21,-5.0,57,1.9,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-10-03,1393,22,16.9,63,0.2,2000,0.0,비 아님,눈 아님,가을,공휴일
2017-12-10,13,5,0.3,74,1.0,178,0.0,비 아님,눈,겨울,공휴일 아님
2018-01-11,152,10,-11.1,46,3.7,1638,0.48,비 아님,눈 아님,겨울,공휴일 아님
2018-08-19,795,11,28.4,43,1.0,1914,1.52,비 아님,눈 아님,여름,공휴일 아님
2018-02-23,669,18,7.5,70,5.0,374,0.08,비 아님,눈 아님,겨울,공휴일 아님
2018-06-27,1015,11,23.4,73,1.3,827,2.38,비 아님,눈 아님,여름,공휴일 아님
2018-01-24,89,1,-15.0,31,2.5,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-02-03,91,23,-10.0,48,2.6,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-22,212,6,0.8,88,1.0,900,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-10-20,1407,19,14.6,48,1.9,1998,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-05,2309,19,26.7,69,1.4,2000,0.36,비 아님,눈 아님,여름,공휴일 아님
2017-12-01,323,23,-1.3,84,1.0,1265,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-05,1669,14,23.6,34,3.3,1829,2.57,비 아님,눈 아님,봄,공휴일 아님
2018-10-27,1118,13,10.6,38,4.6,2000,1.63,비 아님,눈 아님,가을,공휴일 아님
2018-10-16,1063,12,18.8,35,1.2,1057,2.06,비 아님,눈 아님,가을,공휴일 아님
2018-07-08,267,6,17.8,58,1.1,2000,0.04,비 아님,눈 아님,여름,공휴일 아님
2018-01-19,211,0,0.3,45,1.8,1154,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-18,148,21,2.8,73,2.4,831,0.0,비 아님,눈,겨울,공휴일 아님
2018-08-06,571,14,34.0,59,3.2,1180,1.98,비 아님,눈 아님,여름,공휴일 아님
2018-06-01,1071,14,29.6,31,3.7,1988,3.25,비 아님,눈 아님,여름,공휴일 아님
2018-10-29,123,3,5.0,67,0.8,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-27,25,5,-15.4,45,0.8,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-08-01,362,3,29.1,64,0.5,1997,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-10-11,1054,15,13.0,39,3.7,2000,1.09,비 아님,눈 아님,가을,공휴일 아님
2018-09-10,691,6,18.7,64,0.9,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-05-03,367,14,12.7,75,3.8,1510,0.88,비,눈 아님,봄,공휴일 아님
2017-12-30,86,4,-1.1,83,0.7,242,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-11-15,489,1,7.3,64,0.3,1150,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-05-21,1832,22,16.9,65,0.3,1281,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-09-14,1155,13,26.4,57,1.2,2000,1.8,비 아님,눈 아님,가을,공휴일 아님
2018-02-20,370,13,4.2,22,3.9,1812,2.21,비 아님,눈 아님,겨울,공휴일 아님
2018-06-29,1175,14,27.8,57,2.1,760,2.62,비 아님,눈 아님,여름,공휴일 아님
2018-01-12,196,9,-14.9,40,1.2,1999,0.16,비 아님,눈 아님,겨울,공휴일 아님
2018-09-04,940,11,24.5,64,2.7,2000,2.7,비 아님,눈 아님,가을,공휴일 아님
2018-05-04,1857,17,18.1,30,4.6,1925,1.86,비 아님,눈 아님,봄,공휴일 아님
2018-10-05,4,23,16.3,91,1.8,1811,0.0,비,눈 아님,가을,공휴일 아님
2018-06-29,2225,21,25.2,75,1.4,644,0.0,비 아님,눈 아님,여름,공휴일 아님
