Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
LOS ANGELES INTL,A-320,,2001-09-21,US AIRWAYS*,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1997-10-29,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,140.0
LOUISVILLE INTL ARPT,B-727,Minor,2001-07-31,UPS AIRLINES,Kentucky,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
AUSTIN-BERGSTROM INTL,B-737-300,,1997-05-01,AMERICA WEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
LAGUARDIA NY,MD-80,,1993-08-02,AMERICAN AIRLINES,New York,Climb,Small,Unknown bird - small,Dawn,0,0,0,140.0
RONALD REAGAN WASHINGTON NATL,CITATION II,,1991-01-24,GOVERNMENT,DC,Approach,Small,European starling,Day,0,0,0,110.0
HOUSTON-HOBBY,MD-80,,1991-05-11,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
DENVER INTL AIRPORT,B-777-200,,1999-02-10,UNITED AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,,1993-03-23,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,250.0
SALT LAKE CITY INTL,B-727-200,Medium,1996-09-21,DELTA AIR LINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,
ATLANTA INTL,B-767-400,,2001-09-09,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Dawn,0,0,0,140.0
SACRAMENTO INTL,B-737-300,,2002-07-23,AMERICA WEST AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
METRO OAKLAND INTL,B-737-300,,2000-02-26,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
BALTIMORE WASH INTL,FOKKER F100,,1995-11-17,US AIRWAYS*,Maryland,Descent,Medium,Unknown bird - medium,Night,0,0,0,150.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1994-05-04,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
WILL ROGERS WORLD ARPT,CL-601/604,,2000-09-15,AIR WISCONSIN AIRLINES,Oklahoma,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,B-1B,,2002-05-16,MILITARY,Louisiana,Approach,Small,Barn swallow,Day,0,0,0,235.0
LOUISVILLE INTL ARPT,SAAB-340,,1993-09-18,AMERICAN EAGLE AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,180.0
HONOLULU INTL ARPT,DC-9,,1996-06-29,HAWAIIAN AIR,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PHOENIX SKY HARBOR,A-319,,2000-08-10,US AIRWAYS*,Arizona,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
RONALD REAGAN WASHINGTON NATL,IAI-1124,,1991-05-29,BUSINESS,DC,Take-off run,Small,Mourning dove,Day,0,0,0,55.0
LAGUARDIA NY,DC-9,,1996-09-10,AIR CANADA,New York,Climb,Large,Unknown bird - large,Day,0,0,0,140.0
ORLANDO INTL,B-737-200,,2001-11-25,DELTA AIR LINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
KANSAS CITY INTL,B-757-200,,1995-06-10,UNITED AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
HOUSTON-HOBBY,MD-82,,2000-04-14,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,,1998-03-11,ATLANTIC COAST AIRLINES,DC,Landing Roll,Medium,Ring-billed gull,Day,0,0,0,80.0
NASHVILLE INTL,B-737-200,Substantial,1996-07-08,SOUTHWEST AIRLINES,Tennessee,Take-off run,Small,American kestrel,Day,0,0,0,155.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1999-04-20,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
CHICAGO O'HARE INTL ARPT,FOKKER F100,,1999-10-26,AMERICAN AIRLINES,Illinois,Climb,Large,Canada goose,Night,0,0,0,230.0
JOHN F KENNEDY INTL,A-300,,1997-10-03,AMERICAN AIRLINES,New York,Landing Roll,Small,Tree swallow,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,,1994-01-20,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,B-737,,1991-08-02,US AIRWAYS*,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
LOGAN INTL,B-737-300,,1995-11-03,CONTINENTAL AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737-300,Substantial,1997-07-03,SOUTHWEST AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,130.0
LIHUE ARPT,B-737-200,,1996-12-17,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
WASHINGTON DULLES INTL ARPT,PA-31 NAVAJO,,1997-09-09,BUSINESS,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,,1997-08-18,ATLANTIC COAST AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
KANSAS CITY INTL,B-737,,2000-10-27,DELTA AIR LINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
PHILADELPHIA INTL,B-737-200,,1995-10-22,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,,1997-05-12,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,150.0
MINNEAPOLIS-ST PAUL INTL,SA227 AC METRO III,,1996-09-24,MESABA AIRLINES,Minnesota,Climb,Medium,Unknown bird - medium,Night,0,0,0,190.0
SACRAMENTO INTL,B-737-300,,2001-11-09,AMERICA WEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,B-757-200,,2001-04-16,DELTA AIR LINES,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,125.0
HOUSTON-HOBBY,B-737-700,,2000-09-27,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
JOHN F KENNEDY INTL,SAAB-340,,1998-07-28,AMERICAN EAGLE AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,A-320,Minor,2001-07-08,NORTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
DENVER INTL AIRPORT,B-757-200,Minor,2001-09-22,DELTA AIR LINES,Colorado,Approach,Small,European starling,Night,0,0,0,131.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,,1994-09-11,DELTA AIR LINES,Kentucky,Climb,Small,Mourning dove,Dusk,0,0,0,170.0
SEATTLE-TACOMA INTL,FOKKER F28 MK 4000,,1999-12-29,HORIZON AIR,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,SAAB-340,,2001-07-24,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,
MEMPHIS INTL,B-727-200,,1997-04-09,DELTA AIR LINES,Tennessee,Take-off run,Small,Blackbirds,Day,0,0,0,140.0
DETROIT METRO WAYNE COUNTY ARPT,B-727-200,,1990-09-01,AMERICAN AIRLINES,Michigan,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0
MINNEAPOLIS-ST PAUL INTL,C-130E,,2001-08-30,MILITARY,Minnesota,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120.0
LOGAN INTL,B-737-300,Minor,1994-09-21,US AIRWAYS*,Massachusetts,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
SACRAMENTO INTL,FOKKER F28 MK 1000,,1999-12-11,HORIZON AIR,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,FOKKER F100,,1993-09-26,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
KANSAS CITY INTL,CL-RJ100/200,,2000-08-07,AIR CANADA,Missouri,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0
DALLAS/FORT WORTH INTL ARPT,MD-80,,1994-03-18,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,145.0
GEORGE BUSH INTERCONTINENTAL,B-727-200,,1999-04-22,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,B-767-300,,1999-11-14,DELTA AIR LINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,230.0
SACRAMENTO INTL,T-38A,,1996-02-21,MILITARY,California,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,175.0
DALLAS/FORT WORTH INTL ARPT,B-737,Medium,1991-10-25,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,DHC8 DASH 8,,1997-09-02,PIEDMONT AIRLINES,DC,Approach,Large,Canada goose,Dawn,0,0,0,110.0
WILL ROGERS WORLD ARPT,B-737-200,,1992-05-06,SOUTHWEST AIRLINES,Oklahoma,Descent,Small,Unknown bird - small,Night,0,0,0,280.0
CLEVELAND-HOPKINS INTL ARPT,B-737,,1998-08-24,CONTINENTAL AIRLINES,Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,
SEATTLE-TACOMA INTL,B-737-300,Minor,1990-09-30,AMERICA WEST AIRLINES,Washington,Approach,Large,Canada goose,Dusk,0,0,0,140.0
PORTLAND INTL (OR),EMB-120,,1999-11-10,SKYWEST AIRLINES,Oregon,Landing Roll,Small,Barn owl,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,FOKKER F100,,2000-10-05,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,
LOGAN INTL,B-737-400,,2000-11-12,US AIRWAYS*,Massachusetts,Landing Roll,Small,European starling,Dusk,0,0,0,112.0
CHICAGO O'HARE INTL ARPT,C-130H,,1992-09-17,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,120.0
JOHN F KENNEDY INTL,B-767-200,Substantial,1997-06-24,TRANS WORLD AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,
WASHINGTON DULLES INTL ARPT,B-737-800,,2000-10-22,DELTA AIR LINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SALT LAKE CITY INTL,B-737-200,Minor,1992-11-10,DELTA AIR LINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,190.0
CHICAGO MIDWAY INTL ARPT,C-560,,2000-08-15,BUSINESS,Illinois,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120.0
GREATER PITTSBURGH,DC-9-30,,1999-09-15,US AIRWAYS*,Pennsylvania,Landing Roll,Small,European starling,Day,0,0,0,110.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,1991-08-24,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
METRO OAKLAND INTL,B-727,,1994-12-06,UNITED AIRLINES,California,Take-off run,Large,Canada goose,Day,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,B-727-200,,1991-09-20,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-737-500,,1993-07-24,SOUTHWEST AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F28 MK 1000,,1991-10-06,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Night,0,0,0,230.0
SACRAMENTO INTL,MD-80,,2001-11-22,ALASKA AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,210.0
LOS ANGELES INTL,B-757-200,,1999-03-17,DELTA AIR LINES,California,Landing Roll,Small,Barn swallow,Dusk,0,0,0,
CHICAGO O'HARE INTL ARPT,DC-9,,1995-04-17,NORTHWEST AIRLINES,Illinois,Take-off run,Small,Rock pigeon,Day,0,0,0,
NASHVILLE INTL,BE-1900,,1997-03-06,GREAT LAKES AIRLINES,Tennessee,Approach,Small,European starling,Day,0,0,0,120.0
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,,1995-04-20,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,SAAB-340,,2000-10-20,AMERICAN EAGLE AIRLINES,New York,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
CHARLOTTE/DOUGLAS INTL ARPT,A-320,,2001-07-17,US AIRWAYS*,North Carolina,Approach,Small,Mourning dove,Day,0,0,0,140.0
DENVER INTL AIRPORT,B-777-200,,2001-12-17,UNITED AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,
INDIANAPOLIS INTL,A-310,,2000-08-10,FEDEX EXPRESS,Indiana,Approach,Small,Unknown bird - small,Dawn,0,0,0,180.0
METRO OAKLAND INTL,B-737-500,,2000-10-15,SOUTHWEST AIRLINES,California,Climb,Small,Mourning dove,Day,0,0,0,160.0
NASHVILLE INTL,B-737-700,,2002-02-22,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Dusk,0,0,0,150.0
ATLANTA INTL,B-757-200,,2000-06-04,DELTA AIR LINES,Georgia,Climb,Small,Unknown bird - small,Night,0,0,0,210.0
RONALD REAGAN WASHINGTON NATL,B-737-300,,1993-09-29,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Day,0,0,0,132.0
GREATER PITTSBURGH,FOKKER F100,,1996-05-17,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
HONOLULU INTL ARPT,E-6,,1990-10-25,MILITARY,Hawaii,Approach,Medium,Unknown bird - medium,Day,0,0,0,30.0
CLEVELAND-HOPKINS INTL ARPT,B-737,,1990-06-23,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110.0
DALLAS/FORT WORTH INTL ARPT,B-727,,1994-05-12,AMERICAN AIRLINES,Texas,Descent,Medium,Mallard,Dusk,0,0,0,250.0
EPPLEY AIRFIELD,B-737-300,,1997-04-10,SOUTHWEST AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Night,0,0,0,145.0
DALLAS/FORT WORTH INTL ARPT,DC-10,,1990-09-30,AMERICAN AIRLINES,Texas,Approach,Large,Unknown bird - large,Day,0,0,0,180.0
ORLANDO INTL,B-757-200,,2000-10-14,AMERICA WEST AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Night,0,0,0,170.0
PHOENIX SKY HARBOR,A-320,,1998-08-20,AMERICA WEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,Minor,2000-10-01,US AIRWAYS*,North Carolina,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
METRO OAKLAND INTL,B-737-400,,1999-05-23,ALASKA AIRLINES,California,Approach,Large,Canada goose,Day,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,,1997-01-09,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
MINNEAPOLIS-ST PAUL INTL,DC-10-30,,1998-05-08,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,,1990-07-25,BUSINESS,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
PORTLAND INTL (OR),MD-80,Minor,2001-04-21,ALASKA AIRLINES,Oregon,Landing Roll,Small,Barn owl,Night,0,46858,46858,
NEW ORLEANS INTL,MD-82,,1998-09-05,AMERICAN AIRLINES,Louisiana,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
MINETA SAN JOSE INTL,MD-80,,2000-02-04,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Dawn,0,0,0,170.0
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,,2000-06-06,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
JOHN F KENNEDY INTL,BA-31 JETSTR,,1996-07-30,ATLANTIC COAST AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SAN ANTONIO INTL,MD-82,,1992-04-22,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
LOS ANGELES INTL,B-747,,1995-08-02,JAPAN AIRLINES,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,
PHILADELPHIA INTL,B-737-300,,1996-10-24,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
LOS ANGELES INTL,SAAB-340,,2001-05-24,AMERICAN EAGLE AIRLINES,California,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,130.0
PORTLAND INTL (OR),FOKKER F28 MK 4000,,2001-07-19,HORIZON AIR,Oregon,Approach,Small,Unknown bird - small,Day,0,0,0,
GREATER PITTSBURGH,B-727,,1993-06-29,US AIRWAYS*,Pennsylvania,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,130.0
SAN ANTONIO INTL,B-737-200,,1991-10-24,SOUTHWEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,90.0
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,,1990-04-20,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105.0
SACRAMENTO INTL,BA-31 JETSTR,,1997-04-07,TRANS STATES AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,160.0
GREATER PITTSBURGH,B-727,Minor,1992-05-12,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
HONOLULU INTL ARPT,B-737,,2000-02-08,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Pacific golden-plover,Day,0,0,0,
SAN FRANCISCO INTL ARPT,A-320,,1994-11-28,UNITED AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,SAAB-340,,2001-09-21,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,60.0
ATLANTA INTL,MD-88,,1994-10-10,DELTA AIR LINES,Georgia,Landing Roll,Small,Unknown bird - small,Dawn,0,0,0,100.0
SALT LAKE CITY INTL,A-320,,2001-06-10,JETBLUE AIRWAYS,Utah,Approach,Small,Unknown bird - small,Night,0,0,0,
SACRAMENTO INTL,B-757-200,,1991-12-12,AMERICAN AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,130.0
MEMPHIS INTL,B-727-200,,2001-08-25,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,
NEW ORLEANS INTL,B-727,,1992-07-07,CONTINENTAL AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SAN FRANCISCO INTL ARPT,EMB-120,,2001-01-06,SKYWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
GREATER PITTSBURGH,B-737-500,Medium,1999-04-30,CONTINENTAL AIRLINES,Pennsylvania,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,,1992-08-22,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
NEW ORLEANS INTL,B-737,,1997-10-20,SOUTHWEST AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SEATTLE-TACOMA INTL,A-320,,1998-10-06,AMERICA WEST AIRLINES,Washington,Approach,Small,Unknown bird - small,Day,0,0,0,138.0
SACRAMENTO INTL,B-737-300,,1997-08-06,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,210.0
LAMBERT-ST LOUIS INTL,B-727,,1992-09-04,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
LIHUE ARPT,B-737-200,,1996-10-29,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110.0
DENVER INTL AIRPORT,B-737-200,,1995-08-11,FRONTIER AIRLINES,Colorado,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,,2001-01-28,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130.0
ORLANDO INTL,B-737-200,,1992-11-06,US AIRWAYS*,Florida,Take-off run,Small,Cattle egret,Day,0,0,0,180.0
PORTLAND INTL (OR),B-767-300,,2002-07-07,DELTA AIR LINES,Oregon,Approach,Small,European starling,Dusk,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,,1998-12-04,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130.0
SACRAMENTO INTL,B-737-300,Substantial,1994-01-20,SOUTHWEST AIRLINES,California,Climb,Medium,Mallard,Dawn,0,0,0,155.0
CHICAGO O'HARE INTL ARPT,FOKKER F100,Medium,2000-01-20,AMERICAN AIRLINES,Illinois,Approach,Large,Canada goose,Night,0,0,0,170.0
EPPLEY AIRFIELD,CL-RJ100/200,,1999-08-04,COMAIR AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,110.0
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1991-10-10,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
DENVER INTL AIRPORT,B-737,,1996-09-04,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,
HONOLULU INTL ARPT,B-737,,1998-10-17,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
MINNEAPOLIS-ST PAUL INTL,DC-9,,1997-08-09,NORTHWEST AIRLINES,Minnesota,Descent,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,L-1011,,1995-05-13,DELTA AIR LINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
